	sideefects
1861	, diseases eustachian tube,eustachian tube dysfunction,eustachian tube disorders,eustachian tube disorder,dysfunction eustachian tube,dysfunction eustachian tubes,tube disorders eustachian
1862	, hypogonadotropic hypogonadism,hypogonadotrophic hypogonadism,secondary hypogonadism
1863	, chemical diabetes,chemicals diabetes,diabetes chemical,latent diabetes,glucose impaired tolerance,impaired glucose tolerance
1864	, hypoglycemic reactions,hypoglycemia reactive,post prandial hypoglycemia,hypoglycemic reaction,reactive hypoglycaemia,hypoglycemia postprandial,reactive hypoglycemia,postprandial hypoglycemia
1865	, adrenal suppression,adrenal supression
1866	, anemias hypochromic microcytic,anemia microcytic hypochromic,hypochromic microcytic anaemia,microcytic hypochromic anemia,hypochromic microcytic anemia,microcytic hypochromic anaemia
1867	, warm autoimmune hemolytic anemia,warm antibody hemolytic anemia
1868	, heparin induced thrombocytopenia,heparin-induced thrombocytopenia
1869	, tonsil disease,disease of palatine tonsil,disorders tonsils,disorders tonsil
1870	, tonsil enlargement,tonsils hypertrophy,tonsillar hypertrophy,tonsillar enlargement,enlargement tonsils,hypertrophy of tonsils,tonsil hypertrophy
1871	, abscessed lymph node,abscess lymph node,lymph node abscess,abscessed lymph nodes
1872	, femoral fracture shaft,femoral fractures shaft,femur shaft fracture,femoral shaft fracture
1873	, fracture of foot,foot fracture,fracture foot,broken foot,foot broken,of foot fracture,foot fractures
1874	, knee sprained,sprain knee,knees sprain,knee sprain,knees sprains,knee sprains
1875	, injuries lung,injury lung,lung injury,injury lungs
1876	, nerves pinched,nerve compression injury,nerve compression of,nerves pinching,compression nerves,compression injury of nerve,of nerve compression,pinch nerve,nerve compression,nerve pinching,nerve pinched,pinched nerve,compression injuries nerve,nerve pinch,compression of nerve,compression nerve,nerves pinch,compressions nerve
1877	, blood reactions transfusion,blood transfusion reaction,blood reaction transfusion,transfusion reaction,transfusion reactions,blood transfusion reactions,blood complications transfusions,blood complication transfusion,blood transfusion complication,reactions transfusion,blood complications transfusion
1878	, digoxin poisoning,digoxin toxicities,digoxin intoxication,digoxin toxicity,toxicity digoxin
1879	, heavy metals poisoning,heavy metal poisons,toxic effect of heavy metal,heavy metal poisonings,heavy metal poison
1880	, poisons tobacco,tobacco poisoning
1881	, mix infection,infections mixed,mixed infection,polymicrobial infection
1882	, pharyngitis viral,sore throats viral,viral sore throat,viral pharyngitis
1883	, hsv encephalitis,herpetic encephalitis,encephalitis hsv,herpes encephalitis,encephalitis herpes,herpes simplex encephalitis
1884	, cmv hepatitis,hepatitis cmv,cytomegalovirus hepatitis
1885	, cytomegaloviral pneumonia,cmv pneumonitis,cytomegalovirus pneumonia
1886	, candida albicans infection,albicans candida infections
1887	, candidal balanitis,candida balanitis
1888	, stomach flu,infectious gastroenteritis,gastric flu,flu stomach
1889	, drugs intolerance,drug intolerance
1890	, death of unknown cause,unexplained death,deaths unexplained
1891	, exhaustion extreme,prostration,extreme exhaustion
1892	, intermittent fever,picket fence fever,fevers intermittent
1893	, pulseless,absent pulse
1894	, venous stasis,venostasis,stasis venous
1895	, coolness extremities,extremities cold,limb coldness,extremity cold,coldness extremities,cold extremity,cold extremities
1896	, blanching skin,blanching of skin,blanch skin,skin blanching
1897	, dry hair,hair dry
1898	, hair oily,greasy hair,oily hair
1899	, change in bowel habit,bowel habits change,change in bowel habits,bowel changes habits
1900	, hard feces,hard stool,hard stools
1901	, cloudy urine,clouded urine,urine cloud,urine cloudy
1902	, abnormal smelling urine,abnormal odor urine,abnormal urine odor,abnormal smell urine,urine abnormal smell,abnormal urine smell
1903	, mental disability,disabilities mental,altered mental status,mental impairment,alter mental status,mental subnormality
1904	, addiction psychological,psychological dependence,psychological addiction
1905	, physical addiction,physical dependence,physiological addiction,physiological dependence
1906	, ejaculation failure,failure ejaculation,anejaculation
1907	, ejaculation painful,painful ejaculation,pain ejaculation,ejaculations pain,ejaculation pain
1908	, loss of equilibrium,equilibrium loss
1909	, loss sensory,sensory loss,lack sensation,anaesthesia,anesthesia,lack of sensation,sensation lack,anesthesias
1910	, radicular pain,root nerve pain,nerve root pain,nerve pain root
1911	, facial spasm,facial spasms
1912	, breast cancer iv stage,breast cancer metastatic,metastatic breast cancer,breast cancer metastatics,stage IV breast cancer,breast cancer stage iv
1913	, melanoma metastatic,iv melanoma stage,metastatic melanoma,stage iv melanoma,melanoma stage iv
1914	, anus carcinoma cell squamous,anus carcinoma epidermoid,squamous cell carcinoma anus,anal carcinoma
1915	, solid tumors,solid tumor,tumor solid,solid tumour
1916	, acute glaucoma
1917	, disequilibrium
1918	, rupture esophagus,esophageal rupture,esophagus rupture,oesophageal rupture,rupture of esophagus
1919	, generalized body aches,body generalized pain,generalized pain,body general pain,general aches pains
1920	, peritonitis pelvic,pelvic peritonitis
1921	, red cell aplasia
1922	, lump skin,skin lump,lumps skin,skin mass
1923	, scrotum swell,scrotal swellings,scrotum swollen,swollen scrotum,scrotum swelling,scrotal swelling
1924	, biliary sludge
1925	, congenita aplasia cuti,cutis aplasia,aplasia cutis congenita,aplasia cutis,cuti aplasia,aplasia congenita cutis
1926	, excesses iron,iron overloading,iron overload,overload iron,iron excess,excess iron,iron overload disorder
1927	, eruption,eruptions
1928	, lesions osteolytic,osteolytic lesion
1929	, xanthomas,xanthoma,xanthelasma,xanthelasmas
1930	, calcium disorder,calcium disorders
1931	, carcinoma cervical,cervical carcinoma,cervix carcinoma,carcinoma cervix,carcinoma cervix uterine,carcinoma of cervix
1932	, uraemic syndrome,uremic syndrome,uremia syndrome,syndrome uraemic
1933	, protein-losing gastroenteropathy,protein losing gastroenteropathy
1934	, euthyroid goitre,euthyroid goiter
1935	, microcytic
1936	, lymphocytoma cutis,cutaneous lymphoid hyperplasia
1937	, android fat distribution,truncal obesity,centripetal obesity,trunk obesity,central obesity
1938	, problems walking,difficulty walking,difficulties walk,difficulties gait,difficulty in walking,walking difficulty,difficulties walking
1939	, elevated bilirubin,bilirubin increased levels,increased bilirubin,bilirubin elevated,raised bilirubin,increased bilirubin level,bilirubins elevated
1940	, spotting menstrual,menstrual spotting,menstrual spots
1941	, blackout spell,out passed,black out,out passes,blacks out,passed out,black outs,out pass,blackouts,pass out,blackout,blacking out,out passing
1942	, eye dryness,eye dry,eye gritty,dry eye,eyes dry,dry eyes,gritty eye
1943	, induration,indurations
1944	, papular,papule,papulae,papula,papulas,papules
1945	, maculae,macules,macula,macule
1946	, red color,redness,reds,colored red,color red,rubor
1947	, livedo,lividity,blue black,black blue,black blues,livid
1948	, moon face,faces moon,cushingoid,faced moon,face moon,cushingoid facies
1949	, scalds,burns scalding,scald,burn scalded,injury scald,scald burn,burns scald,scalded skin,burn scalds,burn scald,scalded,scalding,burns scalds
1950	, pitting edema,edema pits,pitting oedema,edema pitted,oedema pitting,edema pitting,pit edema
1951	, bloody discharge,discharge bloody,bloody drainage
1952	, ulcer bleeding,ulcer bleed,bleeding ulcers,bleed ulcer,bleeding ulcer,bleeds ulcers
1953	, oncolysis,tumour necrosis,tumor necrosis,necrosis tumour,necrosis tumor
1954	, infarcts lacunar,infarction lacunar,lacunar infarct,lacunar stroke,lacunar strokes,lacunar infarction,lacunar infarctions
1955	, fat atrophy
1956	, hypochromia,hypochromasia
1957	, osseous metaplasia,osteosis,extraskeletal ossification
1958	, malignant mesenchymomas,malignant mesenchymoma
1959	, astrocytoma grade iii,anaplastic astrocytomas,malignant astrocytoma,anaplastic astrocytoma
1960	, mantle-cell lymphoma,cell lymphoma mantle,mantle cell lymphoma,mantle cell lymphomas
1961	, angioendotheliomatosis,intravascular lymphomatosis
1962	, sarcoma of uterus,uterine sarcoma,sarcomas uterine,sarcoma uterus,uterine sarcoma cancer,uterine cancer sarcoma,sarcoma uterine,sarcoma of the uterus
1963	, common migraine,sick headache,common migraines
1964	, sagittal sinus superior thrombosis,sagittal sinus thrombosis
1965	, episodes psychotic,episode psychotic,psychotic episode
1966	, cognitive dysfunction,cognitive impairment,dysfunction cognitive,cognitive impairments,impaired cognition,cognitive decline,cognitive dysfunctions,impairment cognitive
1967	, manic state,manic
1968	, mixed anxiety depression,anxiety depression,depression with anxiety,anxiety depression mixed,anxiety with depression,depression anxiety
1969	, retinal arteriosclerosis,arteriosclerotic retinopathy
1970	, pregnancy-induced hypertension,hypertension in pregnancy,hypertension pregnancies,pregnancy induced hypertension,gestational hypertension,high blood pressure disorder caused by pregnancy,high blood pressure caused by pregnancy,in pregnancy hypertension,hypertension pregnancy,pregnancy hypertension,hypertension pregnancy induced,induced hypertension pregnancy,hypertension induced pregnancy
1971	, imi,inferior myocardial infarction
1972	, myocardial dysfunction,heart dysfunction,dysfunction heart
1973	, aneurysms arterial,aneurysm arterial,arterial aneurysm
1974	, dissection aortic,dissection aorta,dissection of aorta,aorta dissections,aortic dissections,aorta dissection,aortic dissection
1975	, venous embolism,embolism vein,vein embolism
1976	, anaphylactoid shock,anaphylactoid reactions,anaphylactoid reaction
1977	, secondary anemia,anemia secondary
1978	, parotid enlargement,parotid gland enlargement,parotid hypertrophy
1979	, esophageal erosions,esophageal erosion,oesophageal erosion
1980	, erosions stomach,stomach erosion,erosion stomach,gastric erosion,gastric erosions
1981	, erosive duodenitis,erosive duodenopathy
1982	, cmv colitis,colitis cytomegalovirus,cytomegalovirus colitis
1983	, liver disease chronic,chronic disease liver,chronic liver disease,chronic diseases liver,chronic hepatic
1984	, pelvic fibrosis,frozen pelvis
1985	, complicate diabetes,complications diabetes mellitus,diabetes mellitus complication,complication diabetes mellitus,diabetes mellitus complications
1986	, pituitary infarct,pituitary infarction
1987	, early menarche,premature menarche,precocious menstruation
1988	, electrolyte disturbance,electrolyte imbalance,disorders electrolytes,electrolyte disorder,electrolyte imbalances,disorders electrolyte,electrolytes imbalances,electrolytes imbalance,disturbances electrolyte
1989	, hypolipidemias,hypolipidemia
1990	, infections nails,nails infection,infection nails,nail infection,infections nail
1991	, capillary leaking syndrome,systemic capillary leak syndrome,capillary leak syndrome
1992	, effusion joint knee,effusion knee,knee effusion,knee joint effusion,effusions knee,effusion of knee
1993	, helicobacter pylori gastritis,helicobacter gastritis,gastritis helicobacter pylori
1994	, jaw locks,jaw locked,lockjaw,jaw locking,lock jaw,jaw lock
1995	, anal candida,candida anus,anal thrush
1996	, gastrointestinal candidiasis,gastrointestinal candida,intestinal moniliasis,gi candidiasis,intestinal candidiasis,candidal enteritis
1997	, depressed,depression moods,sadness,melancholic,depression,sad,feeling down,down feelings,down feeling,miserable,depressed mood,melancholy,depressing
1998	, vivid dreams,vivid dream,dreaming vivid
1999	, passing out,collapse,collaps,collapsed,collapsing
2000	, nocturnal dyspnoea,nocturnal dyspnea,night short breath
2001	, cloaca exstrophy,cloacal exstrophy,exstrophy of cloaca
2002	, anal skin tags,anal tag,skin tags anal,anal skin tag,anal tags
2003	, cancer hepatic,of liver cancer,cancer of liver,liver malignant tumors,hepatic cancer,liver cancers,cancer liver,malignant neoplasm of liver,cancers liver,liver cancer,cancer of the liver
2004	, angiosarcoma of liver,angiosarcoma liver
2005	, tumor benign breast,benign breast of tumours,benign breast tumors,benign breast neoplasms,benign breast tumours,benign breasts tumour,of benign breast tumor,benign breast tumor,breast benign tumor
2006	, pituitary microadenoma,microadenoma pituitary,microadenomas pituitary
2007	, nevus choroid,nevus of choroid,choroid nevus
2008	, chronic eosinophilic leukemia,hypereosinophilic syndrome
2009	, pancreas ca,of pancreas cancer,cancer of pancreas,cancer of the pancreas,ca pancreas,pancreas cancer,pancrea cancer,malignant neoplasm of pancreas,pancreatic cancers,cancer pancreas,cancers pancreas,pancreatic cancer,cancer pancreatic
2010	, skin papilloma,papilloma cutaneous,papilloma skin,cutaneous papilloma,papillomas skin
2011	, retinal injury,retina injury,injuries retinal,injuries retina
2012	, back strains,back muscles strained,back strain,back muscle strained,back pulled muscle,back muscle pull,back strained,back muscle strain,muscle pull back,back muscle pulled,muscle pulled back,muscle strain back,back muscles pulled,pulled back muscle,back muscle strains,strain back
2013	, lump in chest,mass chest,lump chest,chest lump,chest lumps,chest mass,chest masses
